R0000100,R0536300,R0536401,R0536402,R1204500,R1235800,R1482600,T5201400,T5202300,T5207400,T5211900,T5213200,T5397100,T6055500,T6141700,T6141800,T6145800,T6206400,T6210200,T6216400,T6216401,T6216402,T6216403,T6216500,T6216501,T6216502,T6216503,T6231000,T8123600,T8123700,T8129600,T8134500,T8976700,T9039300,T9039400,T9039500,T9039600,T9039700,T9039800,T9039900,T9040000,T9093100,T9093300,U0203700,T5915200,T5206800,T8128900,T5797300,T5808400,T6316000,T6230100,R0532200,R1302400,R1302500,R1486500,R1486600,R1486900,R1487700,R1487800,U0009400
1,2,9,1981,-3,1,4,29,1,4,1,409947,-4,47000,5,7,4,1,0,1,1,7,7,5,1,7,1,800,32,1,4,1,70000,152,2,3,5,1,3,5,1,2,0,-4,0,12,16,0,3,-4,4470,1,16,8,4,4,-4,0,2,4
2,1,7,1982,-4,1,2,28,1,2,1,335519,-4,52000,5,7,4,1,0,1,1,7,7,5,2,6,4,3850,31,1,2,1,83000,180,3,1,4,2,4,4,1,2,0,-4,0,12,14,1,1,-4,9470,0,17,15,4,-4,-4,1,0,2
3,2,9,1983,63000,1,2,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,30,3,3,1,-2,145,5,3,5,1,5,4,1,3,0,-5,-5,-5,14,-5,-5,-5,-5,0,-3,12,2,-4,300,1,1,-5
4,2,2,1981,11700,1,2,29,1,2,1,171833,-4,41000,5,1,4,3,0,1,1,7,7,1,1,7,7,4840,32,1,2,1,29000,200,5,3,5,1,4,4,1,2,0,-4,0,12,13,1,2,-4,6690,0,12,12,4,-4,-4,0,1,2
5,1,10,1982,-3,1,2,28,1,2,1,302201,-4,62000,5,6,4,2,0,1,2,6,6,5,6,6,2,3740,31,1,2,1,76000,190,5,1,5,1,5,5,1,2,0,-4,1,12,12,1,1,-4,9470,1,12,12,3,3,200,5,3,2
6,2,1,1982,-3,1,2,28,1,2,1,249081,-4,31200,5,4,-1,1,0,1,1,7,7,3,1,7,7,2540,31,1,2,1,15000,-1,5,5,5,1,2,3,2,2,0,-4,1,12,14,1,3,-4,7860,0,-3,12,2,-4,500,1,0,2
7,1,4,1983,-3,1,2,27,1,1,1,265287,-4,19000,5,8,4,4,0,1,1,7,7,1,5,7,1,3920,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,1,11,-5,-4,-4,0,7680,0,-3,12,4,-4,500,0,0,1
8,2,6,1981,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-4,-5,-5,-5,-5,-5,-5,-5,1,6,12,2,2,500,0,0,5
9,1,10,1982,-3,1,4,28,1,4,1,397375,-4,24000,5,11,3,1,0,1,1,6,5,7,4,6,7,3920,31,1,5,1,54000,200,4,2,5,2,5,4,2,2,0,-4,0,12,18,0,2,-4,8270,1,6,12,2,2,500,0,0,5
10,1,3,1984,-3,1,4,-5,-5,-5,-5,0,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,-5,1,6,12,4,4,500,1,0,-5
11,2,6,1982,25000,1,2,28,1,2,1,249081,-4,16000,5,4,4,4,0,3,4,5,3,7,6,4,2,5860,31,1,2,1,33000,178,2,1,3,1,2,2,1,3,0,-4,0,12,16,1,3,-4,8190,0,12,14,1,2,200,1,2,4
12,1,10,1981,0,1,2,29,1,1,1,323621,-4,52000,5,6,5,3,0,2,2,7,7,4,2,6,4,4850,32,1,1,1,-1,265,5,4,3,1,2,2,1,4,0,-4,0,11,13,0,2,1,4470,0,-3,12,2,1,-4,1,0,1
